         Modell Rückenlehne  Dichtefaktor Rückenlehnenteil  CNCAP_NIC_min  CNCAP_NIC_max  CNCAP_Scheerkraft_max  CNCAP_Scheerkraft_min  CNCAP_Druckkraft_max  CNCAP_Druckkraft_min  CNCAP_Biegemoment_UN_OC_max  CNCAP_Biegemoment_UN_OC_min  CNCAP_Biegemoment_LN_max  CNCAP_Biegemoment_LN_min  Bewertung_CNCAP_gesamt  Bewertung_CNCAP_LN  Bewertung_CNCAP_UN  Bewertung_CNCAP_NIC  BIO_x_1_max  BIO_x_t1_max  BIO_x_1_max  BIO_x_t1_max  BIO_x_t8_max  BIO_x_l1_max  BIO_xi_1_max  BIO_xi_t1_max  BIO_xi_t8_max  BIO_xi_l1_max  BIO_xii_1_max  BIO_xii_t1_max  BIO_xii_t8_max  BIO_xii_l1_max  BIO_xiii_1_max  BIO_xiii_t1_max  BIO_xiii_t8_max  BIO_xiii_l1_max  BIO_x_rel_max  BIO_xi_rel_max  BIO_xii_rel_max  BIO_xiii_rel_max  BIO_xiii_rel_summe  BIO_Scheerkraft_max  BIO_Scheerkraft_min  BIO_Scheerkraft_res_max  BIO_Scheerkraft_res_min  BIO_phi_z_1_max  BIO_phi_z_t1_max  BIO_dphi_res_1_t1_max  BIO_dphi_res_1_t1_min  BIO_dphi_res_t1_t8_max  BIO_dphi_res_t1_t8_min  BIO_dphi_res_t8_l1_max  BIO_dphi_res_t8_l1_min  BIO_dphi_z_1_t1_max  BIO_dphi_z_1_t1_min  BIO_dphi_z_t1_t8_max  BIO_dphi_z_t1_t8_min  BIO_dphi_z_t8_l1_max  BIO_dphi_z_t8_l1_min  BIO_Kopfkontaktkraft_x_max  BIO_Kopfkontaktkraft_x_min  BIO_Kopf_v_x_max  Bio_Kopf_v_x_min  BIO_Kopf_v_res_max  Bio_Kopf_v_res_min  BIO_s_res_1_max  BIO_s_res_t1_max  BIO_phi_y_1_max  BIO_phi_y_t1_max  BIO_xii_1_avg  BIO_xii_t1_avg  BIO_xii_t8_avg  BIO_xii_l1_avg  BIO_xiii_1_avg  BIO_xiii_t1_avg  BIO_xiii_t8_avg  BIO_xiii_l1_avg  BIO_xiii_1_summe  BIO_xiii_t1_summe  BIO_xiii_rel_summe  BIO_Federrate_avg  Energie_Kopf_max  Energie_Kopf_min  Energie_Oberkörper_max  Energie_Oberkörper_min  Energie_Gesamt_max  Energie_Gesamt_min  Energie_Gesamt_Summe        Wirkung  T_Kopfkontakt    t_start      t_ende
11    VW313_2CM       KEB47           1.0          WL_SP04     -28.081064      13.397286               0.081689              -0.421685              0.529919              0.097810                   -14.376457                    -0.004886                  3.503597              1.265435e-04                    4.30                 1.5                1.29                 1.51  -991.397095   -937.748505  -991.397095   -937.748505   -924.034241   -919.489441      8.757881       7.728616       6.818759       5.575836       0.253111        0.199345        0.208591        0.203271       -0.013142         0.016153        -0.017344         0.020227     -57.631256        1.735103        -0.144009         -0.022030           13.073579             0.038002            -0.031575                 0.080705                -0.069113         0.050205          0.049562               6.780681               0.000046               10.877817                0.000047               14.408002                0.000022             0.546492         1.419120e-08              0.531778          1.585251e-08             -1.323623         -6.110406e-08                       0.002                      -1.079          8.757881          0.000015            8.774689            0.000031       992.775747        938.684552         0.319262          0.382716       0.044041        0.042417        0.036434        0.033663       -0.000075    -6.188148e-06    -1.320733e-05    -1.976373e-05         10.697255          10.917869           13.073579          -4.877153        175.644105      5.008190e-10             2715.388928            1.115456e-09         2884.485437        1.616275e-09          6.981265e+06  348995.009500      82.599789  50.272251  132.872040
12    VW313_2CM       KEB47           1.0          WL_SP06     -30.679546      12.610336               0.070321              -0.402352              0.516295              0.094453                   -14.539688                    -0.000324                  4.169586              2.680613e-05                    4.44                 1.5                1.36                 1.58 -1063.714840   -976.030426 -1063.714840   -976.030426   -941.051086   -929.235413      9.266808       8.040074       7.097048       5.726326       0.212690        0.201145        0.216011        0.183902        0.014853        -0.021141        -0.016921         0.019071     -49.155449        1.566969        -0.155545         -0.027267           13.190235             0.032059            -0.053553                 0.108295                -0.047002        -0.078801         -0.075561               7.620888               0.000034               11.393150                0.000027               11.819714                0.000011            -0.621641         7.999955e-07             -1.461777         -1.021803e-06              2.631786         -2.544578e-07                       0.004                      -1.030          9.266808          0.000013            9.271150            0.000032      1066.827442        978.027521        -0.418415          0.289355       0.048247        0.044340        0.036349        0.030752       -0.000107    -2.457851e-05     1.022038e-05    -5.915403e-06         10.149579          12.407370           13.190235          -4.563061        196.650824      4.100727e-10             3018.108174            6.921179e-09         3200.540617        7.331252e-09          7.610047e+06  380430.654738      77.949997  50.322250  128.272247
13    VW313_2CM       KEB47           1.1          WL_SP04     -28.014459      13.801280               0.082419              -0.423409              0.529424              0.097810                   -14.401744                    -0.003242                  3.497624              1.463228e-04                    4.26                 1.5                1.29                 1.47  -990.968201   -937.488251  -990.968201   -937.488251   -923.953796   -919.505188      8.759785       7.728888       6.815122       5.579489       0.252541        0.200816        0.207641        0.203080       -0.013145         0.016679        -0.017026         0.020191     -57.931755        1.750288        -0.143706         -0.022219           13.080912             0.035671            -0.029928                 0.077540                -0.071896         0.050205          0.049579               6.868175               0.000046               10.902150                0.000047               14.430867                0.000022             0.554594         1.419812e-08              0.528932          1.559966e-08             -1.336270         -6.256808e-08                       0.001                      -1.081          8.759785          0.000015            8.777565            0.000031       992.367152        938.433118         0.319777          0.383340       0.044051        0.042452        0.036436        0.033689       -0.000076    -1.219596e-06    -2.245959e-05    -2.075266e-05         10.669449          10.952766           13.080912          -4.850966        175.720466      5.009535e-10             2712.707795            1.115397e-09         2883.112236        1.616350e-09          6.978510e+06  348856.821168      82.899593  50.272251  133.171844
14    VW313_2CM       KEB47           1.1          WL_SP06     -30.520319      12.952626               0.070724              -0.406584              0.517799              0.094453                   -14.044353                    -0.000316                  4.190051             -1.435112e-09                    4.44                 1.5                1.39                 1.55 -1063.347410   -975.849731 -1063.347410   -975.849731   -941.007935   -929.268677      9.266422       8.034807       7.096660       5.724917       0.212650        0.201068        0.216097        0.183813        0.014726        -0.021246        -0.017303         0.019012     -49.269172        1.575624        -0.154807         -0.027146           13.302294             0.032661            -0.052788                 0.113694                -0.046885        -0.078728         -0.075603               7.614872               0.000034               11.432873                0.000027               11.832332                0.000011            -0.627475         7.999951e-07             -1.462086         -1.033111e-06              2.634322         -2.522859e-07                       0.004                      -1.029          9.266422          0.000013            9.270643            0.000032      1066.453718        977.843530        -0.417389          0.289934       0.048252        0.044263        0.036309        0.030775       -0.000107    -2.413729e-05     8.782896e-06    -3.655751e-06         10.228380          12.367151           13.302294          -4.566482        196.634472      4.099501e-10             3017.022617            6.925051e-09         3199.619875        7.335001e-09          7.607731e+06  380314.836140      78.000003  50.372250  128.372253
15    VW313_2CM       KEB47           1.2          WL_SP04     -27.920886      14.151750               0.082082              -0.421586              0.530874              0.097810                   -14.401058                    -0.004886                  3.489442              4.184682e-04                    4.24                 1.5                1.30                 1.44  -990.927795   -937.578095  -990.927795   -937.578095   -924.082947   -919.673401      8.760990       7.724412       6.813699       5.581473       0.252061        0.200410        0.206850        0.203033       -0.013220         0.016799        -0.016951         0.020162     -58.098839        1.758959        -0.143269         -0.021826           13.158128             0.036134            -0.030710                 0.078180                -0.072646         0.049806          0.049134               6.883852               0.000046               10.925185                0.000047               14.429386                0.000022             0.559656         1.419619e-08              0.519453          1.915089e-08             -1.355413         -8.847328e-09                       0.001                      -1.071          8.760990          0.000015            8.779597            0.000031       992.344767        938.533972         0.318972          0.383383       0.044056        0.042368        0.036460        0.033685       -0.000075    -7.888972e-06    -2.482851e-05    -2.746193e-05         10.630848          10.987213           13.158128          -4.825626        175.768831      5.010718e-10             2714.716676            1.115578e-09         2884.903196        1.616650e-09          6.980961e+06  348980.129151      83.549912  50.322250  133.872162
16    VW313_2CM       KEB47           1.2          WL_SP06     -30.378223      13.321885               0.071216              -0.410450              0.518732              0.094453                   -13.525557                     0.003675                  4.155870             -5.392907e-04                    4.44                 1.5                1.42                 1.52 -1064.339970   -976.564667 -1064.339970   -976.564667   -941.456177   -929.521362      9.276718       8.037905       7.102473       5.733149       0.212425        0.200575        0.215737        0.183162        0.014849        -0.021062        -0.017306         0.018803     -49.311882        1.572820        -0.154064         -0.026880           13.373291             0.032583            -0.051122                 0.115573                -0.047572        -0.078653         -0.075614               7.593652               0.000034               11.480845                0.000027               11.841499                0.000011            -0.637629         7.999955e-07             -1.460237         -1.021803e-06              2.663202         -2.544627e-07                       0.004                      -1.023          9.276718          0.000013            9.281117            0.000032      1067.482156        978.583581        -0.418781          0.290815       0.048302        0.044307        0.036330        0.030795       -0.000107    -2.586043e-05     1.064865e-05    -5.149898e-06         10.125300          12.310840           13.373291          -4.548016        197.071674      4.101114e-10             3021.617100            6.927925e-09         3204.899772        7.338036e-09          7.619643e+06  380910.372173      78.299995  50.422249  128.722244
17    VW313_2CM       KEB47           1.3          WL_SP04     -27.825916      14.448083               0.082525              -0.421988              0.531134              0.097810                   -14.491739                     0.004581                  3.487975              1.830865e-04                    4.21                 1.5                1.30                 1.41  -990.101929   -937.068268  -990.101929   -937.068268   -923.780518   -919.491760      8.758471       7.721721       6.811116       5.579860       0.251544        0.200767        0.205370        0.203009       -0.013285         0.017208        -0.016440         0.020133     -58.292672        1.772832        -0.142802         -0.022376           13.228389             0.035345            -0.030079                 0.073009                -0.074693         0.049906          0.049177               6.916529               0.000046               10.928196                0.000047               14.427712                0.000022             0.561963         9.441714e-09              0.523109          1.796257e-08             -1.346056         -8.852198e-09                       0.002                      -1.072          8.758471          0.000015            8.777818            0.000031       991.508798        938.018395         0.319157          0.383805       0.044048        0.042352        0.036448        0.033633       -0.000075    -5.090606e-06    -3.002804e-05    -9.373431e-06         10.614583          11.009304           13.228389          -4.833110        175.667746      5.010652e-10             2709.476091            1.114903e-09         2882.271234        1.615968e-09          6.972404e+06  348552.238499      83.599903  50.372250  133.972153
18    VW313_2CM       KEB47           1.3          WL_SP06     -30.249464      13.623753               0.072475              -0.415960              0.523432              0.094453                   -13.272086                    -0.001330                  4.182869              4.241015e-05                    4.42                 1.5                1.43                 1.49 -1063.166500   -975.685303 -1063.166500   -975.685303   -940.932434   -929.245911      9.268971       8.025853       7.092153       5.721686       0.211460        0.200919        0.216599        0.182804        0.014757        -0.020997        -0.017462         0.018813     -49.547989        1.578461        -0.153287         -0.026256           13.480432             0.032442            -0.050789                 0.115823                -0.047115        -0.078526         -0.075522               7.645950               0.000034               11.511307                0.000027               11.856667                0.000011            -0.644667         3.861369e-07             -1.456948          2.044746e-06              2.704507         -2.496726e-07                       0.004                      -1.016          9.268971          0.000013            9.273127            0.000032      1066.376798        977.738470        -0.417461          0.291062       0.048276        0.044214        0.036255        0.030775       -0.000107    -2.179206e-05     4.154933e-06     7.183298e-08         10.166354          12.242405           13.480432          -4.536639        196.742674      4.101537e-10             3013.511045            6.926077e-09         3196.358929        7.336231e-09          7.606962e+06  380276.375048      78.349998  50.472252  128.822250
19    VW313_2CM       KEB47           1.4          WL_SP04     -27.858541      14.936515               0.082677              -0.427422              0.532154              0.097810                   -14.645069                    -0.004888                  3.531632              6.293802e-04                    4.16                 1.5                1.29                 1.37  -989.224854   -936.621643  -989.224854   -936.621643   -923.587708   -919.436462      8.750022       7.721883       6.806643       5.580142       0.250616        0.200281        0.206124        0.202812       -0.013366         0.017160        -0.016418         0.020093     -58.443001        1.780355        -0.142877         -0.021711           13.412471             0.036469            -0.031449                 0.072157                -0.075143         0.050107          0.049399               7.033510               0.000046               10.942703                0.000047               14.443392                0.000022             0.568372         9.432719e-09              0.525760          1.793934e-08             -1.351829         -8.651892e-09                       0.003                      -1.060          8.750022          0.000015            8.770737            0.000031       990.638427        937.571981         0.319477          0.383923       0.043995        0.042392        0.036436        0.033640       -0.000075    -6.300970e-06    -3.382392e-05    -1.124828e-05         10.629042          11.073033           13.412471          -4.831617        175.329004      5.010327e-10             2706.999532            1.115714e-09         2879.615673        1.616747e-09          6.966352e+06  348249.347046      83.749748  50.422249  134.171997
20    VW313_2CM       KEB47           1.4          WL_SP06     -30.492667      13.861771               0.073041              -0.417461              0.525452              0.094453                   -13.110893                     0.003333                  4.161813             -5.911669e-08                    4.39                 1.5                1.42                 1.47 -1063.260740   -975.728333 -1063.260740   -975.728333   -940.992188   -929.326843      9.274719       8.026118       7.092276       5.721406       0.212208        0.200782        0.216242        0.182618        0.014800        -0.020847        -0.017926         0.018712     -49.779754        1.589410        -0.154662         -0.025890           13.689455             0.032435            -0.050559                 0.110258                -0.047518        -0.078550         -0.075600               7.671628               0.000034               11.547959                0.000027               11.863359                0.000011            -0.647112         7.984611e-07             -1.459556         -1.033104e-06              2.709796         -2.524402e-07                       0.004                      -1.023          9.274719          0.000013            9.278855            0.000032      1066.474350        977.784895        -0.417913          0.291584       0.048318        0.044207        0.036229        0.030782       -0.000107    -2.120667e-05     3.332458e-06     7.369041e-07         10.207751          12.277303           13.689455          -4.531987        196.986755      4.101053e-10             3013.983603            6.933545e-09         3197.136375        7.343650e-09          7.608193e+06  380337.891718      78.350002  50.522251  128.872253
